-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::as_strided         0.40%     241.260us         0.40%     241.260us       0.731us       0.000us         0.00%       0.000us       0.000us           330  
                                  cudaStreamIsCapturing         0.02%      10.959us         0.02%      10.959us       0.731us       0.000us         0.00%       0.000us       0.000us            15  
                                        cudaMemcpyAsync         0.48%     285.515us         0.48%     285.515us      10.197us       0.000us         0.00%       0.000us       0.000us            28  
                                       aten::lift_fresh         0.00%       0.860us         0.00%       0.860us       0.430us       0.000us         0.00%       0.000us       0.000us             2  
                                          aten::flatten         0.15%      87.538us         0.20%     116.842us       1.442us       0.000us         0.00%       0.000us       0.000us            81  
                                             aten::view         0.33%     194.762us         0.33%     194.762us       0.919us       0.000us         0.00%       0.000us       0.000us           212  
                                     aten::index_select         0.01%       5.770us         0.01%       5.770us       5.770us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::detach         0.01%       3.561us         0.01%       3.561us       1.780us       0.000us         0.00%       0.000us       0.000us             2  
                                               aten::to         0.02%      12.292us         0.29%     172.395us      19.155us       0.000us         0.00%      13.696us       1.522us             9  
                                     aten::resolve_conj         0.00%       0.670us         0.00%       0.670us       0.335us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::resolve_neg         0.00%       0.619us         0.00%       0.619us       0.310us       0.000us         0.00%       0.000us       0.000us             2  
                                       cudaLaunchKernel         2.96%       1.770ms         2.96%       1.770ms       7.868us       0.000us         0.00%       0.000us       0.000us           225  
                                          aten::reshape         0.07%      39.934us         0.11%      66.423us       1.954us       0.000us         0.00%       0.000us       0.000us            34  
                                         aten::_to_copy         0.05%      28.129us         0.27%     160.103us      32.021us       0.000us         0.00%      13.696us       2.739us             5  
                                    aten::empty_strided         0.36%     213.895us         0.36%     217.825us       5.732us       0.000us         0.00%       0.000us       0.000us            38  
                                       cuLaunchKernelEx         0.48%     284.643us         0.48%     284.643us       8.626us       0.000us         0.00%       0.000us       0.000us            33  
                                               aten::lt         0.01%       6.280us         0.01%       6.280us       6.280us       0.000us         0.00%       0.000us       0.000us             1  
                                        cudaEventRecord         0.02%      10.450us         0.02%      10.450us       2.612us       0.000us         0.00%       0.000us       0.000us             4  
                                      Pregraph bytecode         0.19%     113.222us         0.19%     113.222us     113.222us       0.000us         0.00%       0.000us       0.000us             1  
                 AOTDispatcher Runtime Wrapper Prologue         0.16%      97.993us         0.16%      97.993us       5.764us       0.000us         0.00%       0.000us       0.000us            17  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 59.853ms
Self CUDA time total: 53.308ms

