-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                aten::t         0.04%     364.989us         0.10%     860.380us       6.722us       0.000us         0.00%       0.000us       0.000us           128  
                                        aten::transpose         0.04%     379.546us         0.06%     495.391us       3.870us       0.000us         0.00%       0.000us       0.000us           128  
                                           aten::matmul         0.04%     327.160us         0.52%       4.455ms      34.801us       0.000us         0.00%     103.767ms     810.679us           128  
                                            aten::alias         0.02%     150.555us         0.02%     150.555us       1.176us       0.000us         0.00%       0.000us       0.000us           128  
                                        aten::unsqueeze         0.11%     907.302us         0.13%       1.157ms       4.518us       0.000us         0.00%       0.000us       0.000us           256  
                                          aten::softmax         0.05%     453.051us         0.30%       2.569ms      20.071us       0.000us         0.00%       2.057ms      16.070us           128  
                                       aten::empty_like         0.03%     272.705us         0.10%     846.425us       6.613us       0.000us         0.00%       0.000us       0.000us           128  
                                         cudaEventQuery         0.07%     576.213us         0.07%     576.213us       2.269us       0.000us         0.00%       0.000us       0.000us           254  
                   execute_context_0(0)_generation_1(1)        12.20%     105.093ms        26.68%     229.906ms       1.810ms       0.000us         0.00%     102.098ms     803.925us           127  
                                           aten::select         0.04%     376.783us         0.05%     413.457us       3.256us       0.000us         0.00%       0.000us       0.000us           127  
                                           Buffer Flush         0.08%     646.872us         0.08%     646.872us     323.436us       0.000us         0.00%       0.000us       0.000us             2  
                   execute_context_0(0)_generation_0(0)         0.03%     261.525us         0.03%     296.975us     148.487us       0.000us         0.00%       0.000us       0.000us             2  
                                  cudaDeviceSynchronize         0.01%      87.351us         0.01%      87.351us      87.351us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 861.614ms
Self CUDA time total: 835.505ms

